AOM,Channel,Modes of Operation Display (DS402)
CW,Channel,Control Word (DS402)
SPE,Channel,Velocity Actual Value (DS402)
FEW,Element Value,Following Error Window (DS402)
FET,Element Value,Following Error Time Out (DS402)
INT,Element Value,Interpolation Time Period (DS402)
MSL,Element Value,Max Motor Speed (DS402)
PAC,Channel,Profile Acceleration (DS402)
PDC,Channel,Profile Deceleration (DS402)
PLT,Element Value,Software Position Limit (DS402)
POS,Channel,Target Position (DS402)
PSP,Channel,Profile Velocity (DS402)
PST,Channel,Position Actual Value (DS402)
RMP,Channel,Velocity Demand (DS402)
ROM,Channel,Modes of Operation (DS402)
S16,Channel,Target Velocity (DS402)
SAC,Element,Velocity Acceleration (DS402)
SDC,Element,Velocity Deceleration (DS402)
SDM,None,Supported Drive Modes (DS402)
SPC,Channel Value,Target Profile Velocity (DS402)
SPL,Element,Velocity Min/Max Amount (DS402)
SW,Channel,Status Word (DS402)
TC,Channel,Target Torque (DS402)
TRQ,Channel,Torque Actual Value (DS402)
TSL,Channel,Torque Slope (DS402)
VDV,Channel Value,Velocity Demand Value (DS402)
VSA,Channel Value,Velocity Sensor Actual Value (DS402)
VNM,None,Version Number (DS402)
